Country,Place_Name,Latitude,Longitude
DE,Garbsen,52.4353,9.611
DE,Seelze,52.3863,9.6204
DE,Ilsede,52.2617,10.2116
DE,Alfeld,51.9881,9.817
DE,Bad M<fc>nder,52.1975,9.4499
DE,Barsinghausen,52.3105,9.4561
DE,Konstanz,47.6744,9.1649
DE,Konstanz,47.6723,9.1834
DE,Singen,47.7583,8.8413
DE,Konstanz,47.6613,9.1752
DE,Meckenbeuren,47.6908,9.5572
DE,Radolfzell,47.7333,8.9667
DE,Schw<e4>bisch Hall,49.1067,9.7741
DE,Garbsen,52.4182,9.6021
DE,Hameln,52.0988,9.395
DE,Salzgitter,52.0833,10.3333
DE,Hildesheim,52.141000000000005,9.9407
DE,Braunschweig,52.25899999999999,10.5002
DE,Gifhorn,52.4927,10.5337
DE,Helmstedt,52.2316,11.0018
DE,Sch<f6>ningen,52.1391,10.9683
DE,G<f6>ttingen,51.5604,9.9319
DE,Wolfenb<fc>ttel,52.1424,10.5484
DE,Hildesheim,52.1353,9.9713
DE,Braunschweig,52.2443,10.5594
DE,Braunschweig,52.224,10.4989
DE,Isenb<fc>ttel,52.4336,10.5865
DE,Garbsen,52.4759,9.5359
DE,G<f6>ttingen,51.5333,9.9333
DE,Wolfenb<fc>ttel,52.1661,10.5514
DE,Braunschweig,52.2789,10.5427
DE,Cloppenburg,52.8475,8.0463
DE,Jever,53.5833,7.9
DE,Bremen,53.0543,8.7457
DE,Vechta,52.7266,8.2848
DE,Papenburg,53.0769,7.3997
DE,Lingen,52.5138,7.3133
DE,Oldenburg,53.1547,8.1706
DE,Meppen,52.6986,7.2933
DE,Norden,53.5961,7.1895
DE,Nordhorn,52.4491,7.0518
DE,Bremen,53.0441,8.9558
DE,Weyhe,52.989,8.8314
DE,Syke,52.9038,8.8555
DE,Stuhr,53.0333,8.75
DE,Emden,53.3528,7.2184
DE,Bremerhaven,53.5687,8.5741
DE,Bramsche,52.4031,7.9883
DE,Wallenhorst,52.3486,8.0115
DE,Bremen,53.0815,8.8721
DE,Hagen,52.2094,7.9206
